Region_id,ZIP,City,Lat,Lng
106,7032,Sigleß,47.77518,16.3942
106,7203,Wiesen,47.73942,16.338
106,7023,Zemendorf,47.7621,16.45199
107,7163,Andau,47.77535,17.03267
107,7143,Apetlon,47.74377,16.8306
107,2423,Deutsch Jahrndorf,48.01017,17.1092
107,7132,Frauenkirchen,47.83535,16.92396
107,2474,Gattendorf,48.01503,16.9835
107,7122,Gols,47.89696,16.91078
107,7131,Halbturn,47.87146,16.97388
107,7142,Illmitz,47.76188,16.80032
107,7093,Jois,47.96087,16.79706
107,2421,Kittsee,48.09133,17.06595
107,7123,Mönchhof,47.88448,16.94163
107,2475,Neudorf,48.01518,16.92989
107,7100,Neusiedl am See,47.94863,16.84316
107,2425,Nickelsdorf,47.94043,17.06885
107,2422,Pama,48.04848,17.03357
107,7152,Pamhagen,47.69978,16.90601
107,7111,Parndorf,48.00011,16.86052
107,7141,Podersdorf am See,47.85437,16.83709
107,2473,Potzneusiedl,48.04487,16.94811
107,7161,St. Andrä am Zicksee,47.78406,16.94183
107,7162,Tadten,47.76512,16.98475
107,7151,Wallern im Burgenland,47.72538,16.93586
107,7121,Weiden am See,47.92666,16.86765
107,7092,Winden am See,47.95225,16.75256
107,2424,Zurndorf,47.98315,17.00299
108,7301,Deutschkreutz,47.60056,16.62484
108,7372,Draßmarkt,47.51151,16.40086
108,7304,Großwarasdorf,47.54212,16.55184
108,7312,Horitschon,47.58866,16.54756
108,7342,Kaisersdorf,47.53403,16.39634
108,7332,Kobersdorf,47.59508,16.39233
108,7322,Lackenbach,47.58886,16.46534
108,7321,Lackendorf,47.58997,16.50414
108,7442,Lockenhaus,47.40683,16.41761
108,7361,Lutzmannsburg,47.46347,16.63417
108,7444,Mannersdorf an der Rabnitz,47.4295,16.52899
108,7341,Markt St. Martin,47.56431,16.42746
108,7311,Neckenmarkt,47.59778,16.54846
108,7343,Neutal,47.54607,16.44509
108,7302,Nikitsch,47.53611,16.66025
108,7451,Oberloisdorf,47.4466,16.50613
108,7350,Oberpullendorf,47.50313,16.50461
108,7441,Pilgersdorf,47.44007,16.35026
108,7443,Rattersdorf-Liebing,47.41057,16.49863
108,7323,Ritzing,47.60986,16.49687
108,7453,Steinberg-Dörfl,47.48906,16.47424
108,7344,Stoob,47.52926,16.47662
108,7452,Unterpullendorf,47.47319,16.54165
108,7371,Unterrabnitz,47.45186,16.37661
108,7331,Weppersdorf,47.57894,16.4268
